user_id,failed_logins,login_hour,new_devices,downloads_per_day,external_shares,sensitive_file_access,privilege_requests,label
USER_00001,4,0,1,132,3,9,1,1
USER_00002,0,8,0,16,1,1,0,0
USER_00003,10,2,0,75,5,11,1,1
USER_00004,2,19,0,10,1,5,1,1
USER_00005,2,17,0,52,0,1,0,1
USER_00006,5,15,4,54,5,8,0,1
USER_00007,7,23,2,241,3,8,2,1
USER_00008,1,23,3,52,6,11,0,0
USER_00009,2,15,0,36,3,3,0,0
USER_00010,1,22,0,16,0,4,0,0
USER_00011,1,14,0,51,1,1,0,0
USER_00012,7,6,3,81,5,13,2,1
USER_00013,0,12,1,14,1,3,0,0
USER_00014,5,4,1,274,4,10,2,1
USER_00015,4,13,0,17,0,2,0,0
USER_00016,0,11,1,9,0,2,0,0
USER_00017,5,12,1,10,2,3,1,0
USER_00018,0,7,0,14,1,5,0,0
USER_00019,5,1,0,57,9,11,2,1
USER_00020,1,17,2,54,2,5,0,1
USER_00021,2,1,1,150,1,13,0,1
USER_00022,0,12,0,16,3,6,0,0
USER_00023,2,1,1,31,5,8,1,1
USER_00024,6,7,0,181,2,6,4,1
USER_00025,5,5,0,72,0,11,3,1
USER_00026,4,17,0,28,3,2,0,0
USER_00027,1,16,0,45,1,4,1,0
USER_00028,2,16,2,18,0,2,0,0
USER_00029,1,14,0,27,2,2,1,0
USER_00030,0,8,1,32,3,2,0,0
USER_00031,6,1,1,156,5,7,1,1
USER_00032,2,7,2,133,6,7,1,1
USER_00033,2,10,0,15,0,2,0,0
USER_00034,3,13,0,21,2,10,1,0
USER_00035,0,9,1,26,1,4,0,0
USER_00036,5,9,1,23,1,2,1,0
USER_00037,2,6,0,13,2,3,0,0
USER_00038,0,8,0,31,1,1,0,0
USER_00039,3,11,0,12,3,1,0,0
USER_00040,1,11,0,36,0,4,0,0
USER_00041,2,17,0,72,1,2,0,0
USER_00042,7,10,3,112,3,10,2,1
USER_00043,1,3,3,57,3,13,1,1
USER_00044,1,12,0,60,1,7,1,0
USER_00045,4,4,1,56,5,7,0,1
USER_00046,3,5,1,134,3,9,1,1
USER_00047,1,17,0,43,0,3,1,0
USER_00048,0,14,0,28,1,2,1,0
USER_00049,1,18,0,36,4,1,0,0
USER_00050,0,15,0,15,0,1,0,0
USER_00051,0,11,1,11,1,4,2,0
USER_00052,1,13,1,21,1,2,2,0
USER_00053,2,0,2,73,5,9,1,1
USER_00054,2,16,0,27,0,4,0,0
USER_00055,1,5,0,72,4,3,4,1
USER_00056,6,22,3,72,6,11,2,1
USER_00057,0,17,0,21,0,1,1,0
USER_00058,0,14,0,31,0,1,0,0
USER_00059,2,13,1,7,1,1,0,0
USER_00060,2,14,0,39,1,3,1,0
USER_00061,0,11,1,8,0,2,1,0
USER_00062,2,5,0,13,1,3,0,0
USER_00063,1,9,0,65,0,2,0,0
USER_00064,6,3,1,85,4,11,0,1
USER_00065,1,14,0,39,1,4,1,0
USER_00066,2,10,0,14,0,6,0,0
USER_00067,0,10,0,18,1,3,1,0
USER_00068,1,16,0,20,0,4,0,0
USER_00069,1,14,0,31,2,3,0,1
USER_00070,4,17,0,37,0,3,0,0
USER_00071,1,13,1,35,1,3,0,0
USER_00072,1,8,0,27,1,0,0,0
USER_00073,3,20,1,226,7,10,2,1
USER_00074,1,15,2,23,2,5,0,0
USER_00075,1,11,0,19,3,8,1,1
USER_00076,3,16,0,10,2,3,0,0
USER_00077,0,14,0,18,2,2,1,0
USER_00078,0,17,0,67,1,2,0,0
USER_00079,0,14,0,21,3,3,0,0
USER_00080,5,6,3,42,7,12,2,1
USER_00081,1,14,1,21,2,4,0,0
USER_00082,1,16,0,18,1,4,0,0
USER_00083,5,23,3,248,3,10,4,1
USER_00084,0,13,0,15,0,3,1,0
USER_00085,1,9,0,26,2,1,0,0
USER_00086,4,15,0,36,3,4,1,0
USER_00087,3,3,2,207,5,8,1,1
USER_00088,2,15,1,39,1,0,0,0
USER_00089,0,17,0,30,0,1,0,0
USER_00090,1,11,0,12,0,2,0,0
USER_00091,0,14,0,42,1,1,0,0
USER_00092,1,14,1,29,2,3,1,0
USER_00093,3,11,1,13,2,5,0,0
USER_00094,0,10,0,21,4,5,0,0
USER_00095,0,18,1,44,0,4,0,0
USER_00096,4,12,0,26,1,1,1,0
USER_00097,3,12,0,18,0,4,0,1
USER_00098,0,12,1,28,0,2,0,0
USER_00099,1,15,0,17,0,4,0,0
USER_00100,5,23,0,88,4,10,2,1
USER_00101,7,12,1,245,6,6,2,0
USER_00102,1,14,0,64,1,4,0,0
USER_00103,1,15,0,16,2,2,0,0
USER_00104,5,1,1,135,2,10,1,1
USER_00105,8,19,0,54,6,12,0,1
USER_00106,7,2,2,49,2,10,3,1
USER_00107,1,10,0,29,0,1,1,0
USER_00108,4,14,0,40,1,2,1,0
USER_00109,1,15,1,33,2,3,0,0
USER_00110,6,3,0,173,4,7,1,1
USER_00111,3,11,0,51,1,3,1,0
USER_00112,1,9,0,13,0,0,0,0
USER_00113,1,13,0,15,3,2,0,0
USER_00114,2,15,1,10,3,4,0,0
USER_00115,3,11,0,34,1,3,0,1
USER_00116,7,4,3,39,3,10,0,1
USER_00117,8,16,4,188,4,12,1,1
USER_00118,2,0,1,22,7,7,0,1
USER_00119,5,12,1,28,2,2,0,0
USER_00120,0,14,1,9,0,3,0,0
USER_00121,3,12,0,136,1,3,0,1
USER_00122,2,14,0,26,2,0,1,0
USER_00123,1,14,0,56,0,4,1,0
USER_00124,2,17,0,37,3,2,1,0
USER_00125,2,13,0,22,1,2,0,0
USER_00126,2,12,0,16,0,3,0,0
USER_00127,3,14,1,44,1,3,0,0
USER_00128,1,7,0,25,1,2,0,0
USER_00129,0,8,0,45,1,3,0,0
USER_00130,3,16,0,23,1,5,0,0
USER_00131,2,11,1,70,0,2,0,0
USER_00132,2,6,1,48,6,6,0,0
USER_00133,1,15,0,15,1,2,0,0
USER_00134,0,13,0,44,0,3,0,0
USER_00135,0,16,0,30,0,5,0,0
USER_00136,1,12,0,18,0,3,0,0
USER_00137,5,1,0,491,5,6,1,1
USER_00138,2,12,0,15,1,3,1,0
USER_00139,7,23,1,58,5,9,0,1
USER_00140,3,13,1,37,3,1,1,0
USER_00141,3,10,0,59,1,5,1,0
USER_00142,3,13,2,32,1,4,0,0
USER_00143,5,6,1,56,5,6,1,0
USER_00144,1,13,1,22,2,5,1,1
USER_00145,2,10,0,28,0,3,1,0
USER_00146,2,18,0,31,1,3,1,0
USER_00147,4,14,0,13,2,6,0,0
USER_00148,0,5,0,21,1,3,0,0
USER_00149,1,14,0,31,0,4,0,0
USER_00150,0,15,0,14,3,2,0,0
USER_00151,8,22,0,81,1,12,2,1
USER_00152,6,9,1,133,4,13,1,0
USER_00153,0,16,1,47,2,4,0,0
USER_00154,1,14,0,14,0,2,0,0
USER_00155,2,14,0,35,1,1,2,0
USER_00156,1,9,0,36,0,2,1,0
USER_00157,2,10,1,16,0,2,0,0
USER_00158,2,8,0,17,2,0,0,0
USER_00159,4,1,3,102,2,9,1,1
USER_00160,2,6,1,22,11,6,3,1
USER_00161,3,20,0,12,1,2,0,0
USER_00162,3,23,3,139,6,11,2,1
USER_00163,4,14,0,36,1,8,0,0
USER_00164,2,17,1,15,0,5,0,0
USER_00165,0,14,0,43,2,5,0,0
USER_00166,3,13,1,13,1,2,0,0
USER_00167,3,15,3,213,6,13,1,1
USER_00168,5,5,1,87,4,11,2,1
USER_00169,1,13,0,24,3,3,0,0
USER_00170,7,4,1,41,7,5,1,1
USER_00171,0,9,0,26,0,4,0,0
USER_00172,1,10,0,40,1,2,0,0
USER_00173,0,12,0,14,0,2,0,0
USER_00174,9,19,1,51,2,5,1,1
USER_00175,2,11,1,19,0,2,0,0
USER_00176,2,12,0,26,2,1,0,0
USER_00177,0,16,1,20,0,0,0,0
USER_00178,3,10,1,12,7,9,2,1
USER_00179,7,4,0,222,4,9,0,1
USER_00180,3,8,1,43,4,11,1,1
USER_00181,1,20,0,25,7,11,3,1
